"Item_Name","Category","Item_Number","Lawson_Number","Unit","Associated_Preference_Cards","Bin_Locations"
"Drape Surg 77x53in Fanfold Rei Nforced AuroraDYNJP2414","Supply / Disposable","10080196739714","","EA","M-70803","HBROR341292"
"Dressing 2x2 Island R-002417MSC3222","Supply / Disposable","10080196751839","","EA","M-67389, M-78821, M-81955, M-84075, M-84076, M-84077, M-90889","HBROR232221"
"Dressing Roll Sof-Form 2in 12/Bx R-002004NON25496","Supply / Disposable","10080196692378","","EA","M-67342, M-67389, M-68108, M-68363, M-75053, M-75978, M-83509, M-84075, M-84076, M-84077","HBROR341740"
"Drsg Abd/Combine 8x10in R-002227NON21454","Supply / Disposable","10080196690985","","EA","M-74204","HBROR349224"
"Drsg Adhesive 4x8 25ea/Bx 100/Ca S-2242037541","Supply / Disposable","10884521065413","","EA","M-81955","HBROR - A6C2-9002418"
"Drsg Gauze 5x9 St Xeroform R-0533978884433605","Supply / Disposable","","10192253","EA","M-68103","HBROR315421"
"Drsg Gauze 5x9 St Xeroform R-0533978884433605","Supply / Disposable","10192253047868","","EA","M-67342, M-68613, M-70803, M-75978, M-91325","HBROR315421"
"Dsg Tegaderm Frame 20x30cm 10p K/Bx D-3143671629","Supply / Disposable","00707387807832","","EA","M-83968, M-107797","HBROR - A6C2-15002169"
"Dsg Tegaderm Hp Frame 10x12cm 50pk/Bx 4bx/Ca D-3143669536HP","Supply / Disposable","","04064035","EA","M-77027","HBROR - A6C2-14002166"
"Dsg Xeroform 1x8in Foil 50/Bx 4bx/Ca R-0533988884433301","Supply / Disposable","30884527014921","","EA","M-68108, M-75053","HBROR316117"
"EVACUATOR SUCTION 100ML 10/BX D-2244810070740","Supply / Disposable","00801741049569","","EA","M-68613, M-78821, M-81955, M-91325","HBROR - A3C1-18013263Forcep Bipolar Cautery Bayonet Insulated20-1370IEA220HBROR - A3C3-15001712; HBROR - A3C3-15001712"
"Electrode Stnls Stl Ndl 1.1in D-026608E1552","Supply / Disposable","10884521713321","","EA","M-74397, M-83968, M-107797","HBROR100014"
"FIBER LASER 200M0068403910","Supply / Disposable","08714729808145","","EA","M-67904","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA101HBROR034336"
"Fastener Foley Statlock Bard 25/Bx N-339998FOL0102","Supply / Disposable","00801741076114","","EA","M-68103","HBROR - A3C5-6 050091"
"Forcep Bipolar Bayonet 7 3/4 Ca/10 O-05220419-1003C","Supply / Disposable","00841019100110","","EA","M-68108","HBROR052493"
"GLOVE SURG SZ 6.5 CREAM SYNTHETIC LF PF ST PROTEXIS P2D72PT65X","Supply / Disposable","10885380031939","","EA","M-75977, M-83968, M-107797","HBROR - A4C3-3051090"
"GLOVE SURG SZ 7 BLUE W/NEU-THERA LF PF ST PROTEXIS PI 2D73EB70","Supply / Disposable","10885380027390","","EA","M-75977, M-78821, M-83968, M-107797","HBROR - A4C3-19051132"
"GLOVE SURG SZ 7 CREAM SYNTHETIC LF PF PROTEXIS PI MIC2D73PM70","Supply / Disposable","10885380027284","","EA","M-68108","HBROR - A4C3-12051083"
"GLOVE SURG SZ 7 SYNTHETIC CREAM LF PF ST PROTEXIS PI 2D72PT70X","Supply / Disposable","10885380031946","","EA","M-70803, M-78821","HBROR - A4C3-4051091"
"GLOVE SURG SZ 7.5 BLUE W/NEU-THERA LF PF ST PROTEXIS 2D73EB75","Supply / Disposable","10885380027406","","EA","M-67342, M-67389, M-68108, M-70803, M-74397, M-75053, M-75977, M-75978, M-77027, M-77941, M-83509, M-83968, M-84075, M-84076, M-84077, M-90889, M-91325, M-107797","HBROR - A4C3-20051133"
"GLOVE SURG SZ 7.5 CREAM SYNTHETIC LF PF PROTEXIS PI M2D73PM75","Supply / Disposable","10885380027291","","EA","M-67342, M-74397, M-75053, M-75977, M-75978, M-77941, M-83968, M-91325, M-107797","HBROR - A4C3-13051084"
"GLOVE SURG SZ 7.5 SYNTHETIC CREAM LF PF ST PROTEXIS P2D72PT75X","Supply / Disposable","10885380031953","","EA","M-67389, M-74204, M-83509, M-84075, M-84076, M-84077, M-90614, M-90889","HBROR - A4C3-5051092"
"GLOVE SURG SZ 8 BLUE W/NEU-THERA LF PF ST PROTEXIS PI 2D73EB80","Supply / Disposable","10885380027413","","EA","M-74204","HBROR - A4C3-21051134"
"GLOVE SURG UNDER SZ 7.5 BLUE LF PF ST BIOGEL PI INDIC41675","Supply / Disposable","07332551292706","","EA","M-67389, M-83509, M-84075, M-84076, M-84077, M-90614, M-90889","HBROR - A4C2-12027325"
"HBROR - A6C2-23052287, 10080196740147Dsg Pad 3x4in Non-Adherent 100/BxNON25710","Supply / Disposable","","004110","EA","M-77027",""
"HBROR025178, 10884521709874COVER WAND RF DETECTABLE ST01-0020","Supply / Disposable","","817101","EA","M-78820",""
"HBROR032790Pack 4 Gown W/3 Towels127338A","Supply / Disposable","","027110","EA","M-68108",""
"HBROR055066, 10885380150081Cont Specimen Sterile 120ml O-000267C13901","Supply / Disposable","80196692955110","","EA","M-69622",""
"HBROR224118, 00707387775162Blanket Upper Body R-00137442234","Supply / Disposable","80196288419110","","EA","M-75978",""
"HBROR224118, 00707387775162Blanket Upper Body R-00137442234","Supply / Disposable","84521713321110","","EA","M-91325",""
"HBROR231253Marker Skin Ultra Fine Tip1436SR-10","Supply / Disposable","","532101","EA","M-75053",""
"HBROR266357, 10888277107465Tip Suction Yankau Std On OffOR164","Supply / Disposable","80196723140110","","EA","M-77027",""
"HBROR341292, 10080196739714Drape Surg 77x53in Fanfold Rei Nforced AuroraDYNJP2414","Supply / Disposable","","868220","EA","M-68103",""
"HBROR386430, 00801741074141TRAY CATH FOLEY 16FR 5CC BALLOON DRAIN BAG PVC SURESTA947316","Supply / Disposable","80196745500101","","EA","M-67389",""
"HBROR422025, 10080196845095DRESSING GAUZE ROLL 3.4INX3.6YD 6 PLY COTTON LF ST BUNON25861","Supply / Disposable","","588660","EA","M-107797",""
"HEMOCLIP LIGATING TITAN MED HORIZON 6/PK 30PK/","Supply / Disposable","24026704696363","","BX","M-69622, M-77027, M-78820, M-81955","HBROR - A5C2-28000319"
"HEMOCLIP LIGATING TITANIUM LG HORIZON 6/PK 20PK/BX 004200","Supply / Disposable","24026704696387","","EA","M-69622, M-77027, M-78820, M-81955","HBROR - A5C2-30000320"
"Instr Yankauer Bulb Tip W/O Ve Nt Flex St O-001772 DYND52130","Supply / Disposable","10080196035434","","EA","M-77027, M-78820","HBROR395027"
"Instr Yankauer Open Tip W/O Ve Nt StOR87","Supply / Disposable","10888277407947","","EA","M-68103","HBROR395028"
"Introducer Suprapubic One-StepG26655","Supply / Disposable","00827002266551","","EA","M-74397","HBROR372983"
"KIT ACCESSORY AMS 800 SPHINCTER URINARY CONTROL SYS 720066-01","Supply / Disposable","00878953004938","","EA","M-68103","HBROR392556Dispenser Foam Pump 4oz Hibicl Ens57541EA110HBROR448590PACK MINOR UROLOGYDYNJT7137EA110HBROR007346"
"Kit Surg Spy-Phi Drug DrapeHH9006","Supply / Disposable","10858701006282","","EA","M-74397","HBROR392095"
"Kit Urostomy 2 1/4 St 5/Bx O-05106819503","Supply / Disposable","00610075198634","","EA","M-81955","HBROR - A3C5-41051871"
"Legging Lithotomy Convt R-002147DYNJP2461","Supply / Disposable","80080196288419","","EA","M-68103, M-74397, M-77941, M-83968, M-94335, M-107797","HBROR220255"
"Ligasure Impact Seal/Di 6ea/Bx D-380024LF4418","Supply / Disposable","10884521612525","","EA","M-81955","HBROR - A3C2-1026617"
"Lube Jelly 2oz St Flip Top Tub E O-051123 R-395032 MDS032285","Supply / Disposable","10080196291588","","EA","M-67342, M-67389, M-67904, M-74397, M-75978, M-83968, M-84075, M-84076, M-84077, M-90889, M-91325","HBROR395053"
"Lube Jelly 2oz St Flip Top Tub E O-051123 R-395032 MDS032285","Supply / Disposable","","10080196","EA","M-107797","HBROR395053"
"NDL HYPO 25GX1.5 NON-SAFETY D-376057305127","Supply / Disposable","00382903051274","","EA","M-77027","HBROR - A5C3-14000532"
"NDL HYPODERMIC 18 GA 1.5IN REG BEVEL PRECISIONGLIDE 305196","Supply / Disposable","00382903051960","","EA","M-68613, M-74397, M-75053, M-75975, M-75977, M-75978, M-83968, M-107797","HBROR - A5C3-12000553"
"NDL SPINAL QUINCKE POINT 20GA 25/","Supply / Disposable","00382904051822","","BX","M-68103, M-74397","HBROR - A5C3-18000527"
"NEEDLE ENT/IMA STANDARD STERILE 25/BXES38","Supply / Disposable","10607151056381","","EA","M-68108, M-69077, M-77027, M-78820","HBROR449442"
"Ndl St Hypo 27ga/0.5in 100/Bx D-318256-026086305109","Supply / Disposable","00382903051090","","EA","M-67342","HBROR026086"
"PACK PROCEDURE CYSTO CUSTOM STERILEDYNJ80162","Supply / Disposable","10195327013349","","EA","M-67904, M-68200","HBROR239073"
"PACK PROCEDURE LITHOTOMY CUSTOM STERILEDYNJ80236","Supply / Disposable","10195327017095","","EA","M-67342, M-69622, M-70802, M-70803, M-74204, M-91325","HBROR239051"
"PACK PROCEDURE MAJOR CUSTOM STERILEDYNJ80175","Supply / Disposable","10195327013462","","EA","M-78820","HBROR239065"
"PACK PROCEDURE UROLOGY CUSTOM STERILEDYNJ80252","Supply / Disposable","10195327016777","","EA","M-78821, M-81955","HBROR239076"
"PLUG CATHETER DRAINAGE PROTECTOR CA/50 R-3446221600","Supply / Disposable","10884521007819","","EA","M-74397, M-83968, M-91325, M-107797","HBROR - A3C5-8 001702"
"Pack Gown Lp Xlg W/Towel D-003997-385507614000","Supply / Disposable","00810019800344","","EA","M-67904, M-75975, M-81955","HBROR125010"
"Pack Gown Standard Xlg 1004d W /Towel Ster1004D","Supply / Disposable","00810019800306","","EA","M-68103, M-68200, M-70803","HBROR - A4C1-2004682"
"Pack Universal O-002197DYNJ80178","Supply / Disposable","10195327013547","","EA","M-68613, M-78820, M-90614","HBROR239049"
"Pad Ground Electrode Adl 30lb D-319853-026613 R-01420E7507","Supply / Disposable","10884524000077","","EA","M-67342, M-67389, M-68103, M-68108, M-68200, M-68363, M-69077, M-69622, M-70802, M-70803, M-74204, M-74397, M-75053, M-75977, M-75978, M-77027, M-77941, M-78821, M-81955, M-83509, M-83968, M-84075, M-84076, M-84077, M-90889, M-91325, M-107797","HBROR - A3C1-18013263Forcep Bipolar Cautery Bayonet Insulated20-1370IEA110HBROR - A3C1-41100642; HBROR - A3C1-41100642"
"Pant Incontinent Lg O-394941706A","Supply / Disposable","10694393126101","","BG","M-74204","HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR101HBROR055011"
"Pencil Cautery Electrosurg W/Holster 50/CaE2516H","Supply / Disposable","10884524000053","","EA","M-67389, M-68103, M-68108, M-68363, M-69077, M-70802, M-74397, M-75053, M-75977, M-77027, M-83509, M-83968, M-84075, M-84076, M-84077, M-90614, M-90889, M-91325, M-107797","HBROR - A3C1-6050934"
"Pencil Smoke Evac Coated Pb O-3900030703-046-000","Supply / Disposable","07613327117189","","EA","M-91325","HBROR228488"
"Reload Gia 80mm 3.8 BluGIA8038L","Supply / Disposable","10884523007251","","EA","M-81955","HBROR027595"
"Retractor Ring Figure 8 Shaped Lone Star3304G","Supply / Disposable","00888937015362","","EA","M-70802, M-75053","HBROR362918Panties Mesh Xl 45in-70in O-002041MSC86400EA101HBROR003180; HBROR448590PACK MINOR UROLOGYDYNJT7137EA101HBROR003180"
"SPONGE GAUZE 4X4IN 12-PLY LF ST CURITY 10/","Supply / Disposable","20192253048596","","PK","M-67342, M-78820","HBROR - A6C2-42002329"
"STRIP STERI SKIN CLOSURE 0.5X4IN REINFORCED ST 50/BX R1547","Supply / Disposable","00707387804688","","EA","M-77027, M-78820","HBROR - A6C2-29002374"
"SUPPORT SCROTAL LARGE ATHLETIC ADJUSTABLE WAISTBAND RORT2240L","Supply / Disposable","00197344103662","","EA","M-68103, M-69077, M-69622, M-77027","HBROR449327"
"SUT 0 CT-1 PDS II 27IN VIL MO NO 36/BX O-050703Z340H","Supply / Disposable","10705031060623","","EA","M-81955","HBROR - A4C4-41000721"
"SUT 0 CT-1 UND BRD SA 36IN COATED VICRYL 36/BX O-0507J946H","Supply / Disposable","10705031043671","","EA","M-81955","HBROR - A5C5-90000756"
"SUT 2-0 CT-1 VIO BRD SA 27IN COATED VICRYL 36/BX O-05J339H","Supply / Disposable","10705031039018","","EA","M-81955","HBROR - A4C5-26000749"
"SUT 3-0 VIO BRD 8-18IN SA SH CR COATED VICRYL 12/BX OJ774D","Supply / Disposable","10705031042919","","EA","M-78821, M-81955","HBROR - A4C6-9000722"
"SUT CHROMIC 3-0 SH NDL 27IN G122H 36PK/BXG122H","Supply / Disposable","10705031037441","","EA","M-68363, M-69077, M-75053, M-77027","HBROR - A4C6-39000572"
"SUT COATED VICRYL PLUS 2-0 SH 27 BX/12 R-000688VCP785D","Supply / Disposable","10705031055568","","EA","M-77027","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA000HBROR050709"
"SUT COATED VICRYL PLUS 3-0 SH 27 BX/36 R-000784VCP416H","Supply / Disposable","10705031053014","","EA","M-67342, M-68363, M-69622","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA220HBROR050712; HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA321HBROR050712; HBROR050712"
"SUT ETHILON 2-0 PSLX 30IN 36PK/BX D-3400681697H","Supply / Disposable","10705031002173","","EA","M-77027, M-78821, M-81955","HBROR - A4C4-30000638"
"SUT ETHILON 3-0 PS-2 NDL 18IN 36PK/BX D-3190391669H","Supply / Disposable","10705031001879","","EA","M-67389, M-84075, M-84076, M-84077","HBROR - A4C4-77000797"
"SUT MONOCRYL 4-0 PS2 18IN SUT UNDYED MONOFIL ABSORB 1Y496G","Supply / Disposable","10705031059375","","EA","M-67342, M-68103, M-69622, M-75053, M-78821, M-84075, M-84076, M-84077","HBROR - A4C6-34000810"
"SUT PROLENE 4-0 RB-1 RB-1 36IN 8557H 36PK/","Supply / Disposable","10705031017061","","BX","M-81955","HBROR - A4C4-11000646"
"SUT VICRYL 2-0 SH NDL 27IN 36/BX O-050708J317H","Supply / Disposable","10705031038752","","EA","M-67389, M-75053, M-77027, M-81955, M-91325","HBROR - A4C5-33000783"
"SYRINGE 50ML LL 40/BX 4BX/","Supply / Disposable","00382903096534","","CA","M-67342, M-67389, M-68103, M-69622, M-75053, M-75975, M-81955, M-84075, M-84076, M-84077, M-90889","HBROR - A5C3-3000610"
"SYRINGE BULB IRRIGATION 1.5OZ D-100156,344730 N-3973067000","Supply / Disposable","10884521007994","","EA","M-67342, M-67389, M-84075, M-84076, M-84077, M-90614, M-90889, M-91325","HBROR - A3C3-10000612"
"Set Ext 7in High Press Non-Deh P One Link Ca/200 S-447N8301","Supply / Disposable","00085412475387","052378","EA","M-75053",""
"Set Irrigation Cysto W/Cath 81In Ad Pr Clamp D-0108352C4040","Supply / Disposable","00085412001050","","EA","M-67342, M-68103, M-74397, M-75975, M-75978, M-91325","HBROR - A3C3-24052011"
"Set Irrigation Cysto W/Rollerc 12/Ca2C4041","Supply / Disposable","00085412001067","","EA","M-67813, M-84079, M-110989","HBROR - A3C3-25052012"
"Set Marker Skin Utility W/Lab Els O-395055LBL0001291","Supply / Disposable","10193489378023","","EA","M-74397, M-83968, M-91325, M-107797","HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR110HBROR053921Chloraprep 26ml Orng St O-050864930815EA101HBROR054140; HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR220HBROR053921Chloraprep 26ml Orng St O-050864930815EA101HBROR054140"
"Sponge Gauze Rfd 4x4 16ply 10/Pk 1280/Ca S-INST-0632-G0404-16P01C-1","Supply / Disposable","10884521700604","","EA","M-68108","HBROR - A6C1-2050698"
"Sponge Lap Rfd 12x12 Str 5/Pk 40pk/Ca D-002321L1212-04P01C-1","Supply / Disposable","10884521700949","","PK","M-90614","HBROR050696"
"Sponge Lap Rfd 18x18 Str 5/Pk 40pk/Ca S-INST-0631-118L1818-04P01C-1","Supply / Disposable","10884521700956","","PK","M-67342, M-75977, M-75978, M-78820, M-81955, M-83968, M-107797","HBROR - A6C1-11050697"
"Sponge Super Prep 6x6.75 O-002328NON25854","Supply / Disposable","20080196692955","","EA","M-67389, M-68103, M-68363, M-69077, M-70803, M-74397, M-77027, M-78820, M-84075, M-84076, M-84077, M-90889, M-91325","HBROR032867Glove Dpc Latex Free Biogel GLVDPC1EA000HBROR032869Glove Dpc Duraprene Plus PfGLVDPC3EA000HBROR032870Glove Dpc Pi ProtexisGLVDPC4EA000HBROR032871Glove Dpc Ortho ProtexisGLVDPC5EA000HBROR032872Glove Dpc Blue ProtexisGLVDPC6EA000HBROR032873Glove Dpc Micro ProtexisGLVDPC7EA220HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR054986; HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR110HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR054986; HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR110HBROR054986; HBROR052795SLEEVE SCD KNEE LENGTH MED 21IN BLENDED EXPRESS KENDA9529BPR330HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR054986; HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR054986; HBROR054986"
"Stapler Endo Gia Universal StdEGIAUSTND","Supply / Disposable","10884523003543","","EA","M-81955","HBROR023045"
"Stapler Gia 80mm 3.8 BluGIA8038S","Supply / Disposable","10884523007268","","EA","M-81955","HBROR027596"
"Stapler Skin Appose 35 Wide 12/Bx 48/Ca D-027582-10108886803712","Supply / Disposable","10884521104372","","EA","M-67389, M-68103, M-68108, M-68613, M-70803, M-74397, M-75053, M-75977, M-75978, M-78821, M-83968, M-84075, M-84076, M-84077, M-90889, M-91325, M-107797","HBROR - A5C2-22051924"
"Stay Surgical Elastic Single H Ook 12mm Yellow3350-1G","Supply / Disposable","00888937015638","","EA","M-67342, M-68103, M-75053, M-91325","HBROR014782"
"Stay Surgical Elastic Single H Ook 5mm Blue3311-1G","Supply / Disposable","00888937015478","","EA","M-67342, M-68103, M-70802, M-74397, M-75978, M-83968, M-91325, M-107797","HBROR - A1C3-27014783"
"Stent Sof-Flex 7frx75cm Ureteral Bander Right Ureter G14779","Supply / Disposable","00827002147799","","EA","M-81955","HBROR002824"
"Stent Ureteral 6frx26cm Contou RM0061802230","Supply / Disposable","08714729058533","","EA","M-67904","HBROR316694"
"Stent Ureteral Bander 7fr Lt X75cmG14780","Supply / Disposable","00827002147805","","EA","M-81955","HBROR002825"
"Sut 3-0 Vio Sa Sh Pds Ii 27in MonocrylZ316H","Supply / Disposable","10705031060470","","EA","M-67342","HBROR - A4C5-8017444"
"Sut Chromic 2-0 Sh Ndl 27in G1 23h 36pk/BxG123HEANote: STAY SUT220HBROR - A4C6-39000572, 10705031037441SUT CHROMIC 3-0 SH NDL 27IN G122H 36PK/BXG122HEANote: BULBAR220HBROR - A5C1-12017423, 10705031023390Sut Silk 2-0 Sh Ndl Cr 8-18inc 012d 12pk/BxC012DEANote: LITHOTOMY101HBROR - A5C2-22051924, 10884521104372Stapler Skin Appose 35 Wide 12/Bx 48/Ca D-027582-10108886803712","Supply / Disposable","10705031037458","","EA","M-78820","HBROR - A4C6-38017370"
"Sut Chromic 4-0 Rb-1ndl 27in U 203h 36pk/BxU203H","Supply / Disposable","10705031051133","","EA","M-67342, M-81955","HBROR - A4C6-42017379"
"Sut Pds Ii 0 Ct-1 Ndl Cr 8-18i N Z740d 12pk/BxZ740D","Supply / Disposable","10705031061620","","EA","M-78820","HBROR - A4C4-40017432"
"Sut Pds Ii 0 Tp-1ndl 60in Loop Z991g 12pk/BxZ991G","Supply / Disposable","10705031061996","","EA","M-78821","HBROR - A4C4-39017499"
"Sut Pds Ii 2-0 Sh Ndl27in Z317 H 36pk/BxZ317H","Supply / Disposable","10705031060494","","EA","M-67342, M-75053, M-84075, M-84076, M-84077","HBROR - A4C5-4017486"
"Sut Pds Ii 4-0 Rb-1 Ndl 27in Z 304h 36pk/BxZ304H","Supply / Disposable","10705031060371","","EA","M-81955","HBROR017405"
"Sut Pds Ii 5-0 Rb-1ndl 27in Z3 03h 36pk/BxZ303H","Supply / Disposable","10705031060357","","EA","M-67342","HBROR - A4C5-10017407"
"Sut Silk 2-0 12-18in Ties A185 H 36pk/BxA185H","Supply / Disposable","10705031023024","","EA","M-77027","HBROR - A5C1-13002765"
"Sut Silk 2-0 Sh Ndl Cr 8-18inc 012d 12pk/BxC012D","Supply / Disposable","10705031023390","","EA","M-69622, M-77027","HBROR - A5C1-12017423"
"Sut Silk 3-0 Sh Ndl Cr 8-18inc 013d 12pk/BxC013D","Supply / Disposable","10705031023420","","EA","M-81955","HBROR - A5C1-19017374"
"Sut Vicryl 0 Ct-1 Ndl 36in J34 6h 36pk/BxJ346H","Supply / Disposable","10705031039117","","EA","M-81955","HBROR017452"
"Sut Vicryl 2-0 Sh Ndl 27in J417hJ417H","Supply / Disposable","10705031039681","","EA","M-68108, M-69622, M-70803, M-91325","HBROR - A4C5-30011566"
"Sut Vicryl 4-0 Ps-2 Ndl 18in U Ndyed J496h 36pk/Bx O-J496H","Supply / Disposable","10705031040595","","EA","M-77027, M-78820","HBROR - A4C6-15128733"
"Sut Vicryl 4-0 Rb-1 Ndl 27in U Ndyed J214h 36pk/Bx J214H","Supply / Disposable","10705031038226","","EA","M-67342, M-68108, M-81955","HBROR - A4C6-14017451"
"Sut Vicryl 4-0 Sh Ndl 27in Undyed J415hJ415H","Supply / Disposable","10705031039643","","EA","M-67342, M-67389, M-68103, M-68108, M-70803, M-75053, M-81955, M-84075, M-84076, M-84077, M-91325","HBROR - A4C6-10004653"
"Sut Vicryl Plus 0 Violet Ct-1 Ndl 8-27in Vcpp31d O-01VCPP31D","Supply / Disposable","","10705031","EA","M-78820","HBROR025087"
"Sut Vicryl Plus 2-0 Violet Tie 12-18in Vcp105gVCP105G","Supply / Disposable","10705031051416","","EA","M-78820","HBROR025049"
"Sut Vicryl Plus 2-0 Violet Ur- 6 Ndl 27in Vcp602hVCP602H","Supply / Disposable","10705031054370","","EA","M-68103, M-68108, M-70803","HBROR025070"
"Sut Vicryl Plus 3-0 Undyed Tie 12-18in Vcp110g O-0173VCP110G","Supply / Disposable","10705031051485","","EA","M-78820","HBROR025051"
"Sut Vicryl Rapide 4-0 Ps-2 Ndl 18in Undyed Vr496VR496","Supply / Disposable","10705031134690","","EA","M-68108","HBROR - A4C6-17010686"
"Syringe 10ml Ll 5/Sr /Bx/200 400/Ca O-000599302995","Supply / Disposable","00382903029952","","EA","M-67904, M-74397, M-75978, M-91325","HBROR - A5C3-10052913"
"Syringe 20ml Ll 48/Bx Ca/192 N-396178302830","Supply / Disposable","00382903028306","","EA","M-67389, M-74397, M-75977, M-83968, M-84075, M-84076, M-84077, M-90889, M-107797","HBROR - A5C3-1051860"
"Syringe L/L 3ml 200/Bx 4/Ca S-054152309657EANote: Used for papavarine110HBROR - A6C2-32051163, 10705031Adhesive Skin Dermabond Advanc D 12/Bx O 128446 N-389DNX12","Supply / Disposable","00382903096572","","EA","M-75053","HBROR - A5C3-7010941"
"System Wound Irrigation 450ml Debridement Irrisept ISEPT-450-USA","Supply / Disposable","00842351190005","","EA","M-67389, M-83968, M-90614, M-90889, M-107797","HBROR135718"
"TRAY CATH FOLEY 16FR 5CC BALLOON DRAIN BAG PVC SURESTA947316","Supply / Disposable","00801741074141","","EA","M-68103, M-84075, M-84076, M-84077, M-90889, M-91325","HBROR386430"
"Tip Suction Yankau Std On OffOR164","Supply / Disposable","10888277107465","","EA","M-67389, M-68103, M-68108, M-68363, M-69077, M-70802, M-74397, M-75053, M-75977, M-83509, M-83968, M-84075, M-84076, M-84077, M-90614, M-90889, M-91325, M-107797","HBROR053921Chloraprep 26ml Orng St O-050864930815EA110HBROR266357; HBROR266357"
"Tray Cath 16fr 350ml Urine Met Er Surestep O-386430 A942216","Supply / Disposable","00801741074110","","EA","M-75975","HBROR391921"
"Tray Skin Prep O-000455DYND70661","Supply / Disposable","10080196998593","","EA","M-67389, M-67904, M-68103, M-68200, M-83509, M-84075, M-84076, M-84077, M-90889","HBROR347533"
"Tube Salem Sump W/Arv 18fr 50/Ca D-113379 N-055031 8888266148","Supply / Disposable","10884521004726","","EA","M-78820, M-78821","HBROR001878"
"Tube Yank Suct Flex Reg Tip Medi-Vac 50/CaK61","Supply / Disposable","00885380030171","","EA","M-70802","HBROR355220"
"Tubing Suction Noncond 20ft St Maxi-Grip 20/CaCFN620A","Supply / Disposable","10885380072437","","EA","M-68103, M-74204, M-75978, M-83968, M-90614, M-107797","HBROR - A3C3-4001943"
